time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z,PointerHeadTilt1X,PointerHeadTilt1Y,PointerHeadTilt1Z,PointerHeadTilt2X,PointerHeadTilt2Y,PointerHeadTilt2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.027,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.033,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.047,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.054,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
0.060,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.403, -0.278,45.360, 16.528, 4.288,0.497, 0.975, -0.336,27.403, 0.108, 5.167,0.476, 0.820, 0.274,0.498, 0.817, -0.031,null,null,null,0.403, 0.862, -0.023
